full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data,Sentiment
Presiden terpilih Pak @Prabowo kembali menegaskan sikap dan komitmennya dalam mendukung &amp; melanjutkan pemindahan ibu kota ke Ibu Kota Nusantara (IKN). Bukan hanya untuk pengembangan wilayah Kalimantan Timur tempat IKN berada pemindahan ibu kota juga penting untuk keberlangsungan https://t.co/w1yX3gPIsJ,Presiden terpilih Pak Prabowo kembali menegaskan sikap dan komitmennya dalam mendukung amp melanjutkan pemindahan ibu kota ke Ibu Kota Nusantara IKN Bukan hanya untuk pengembangan wilayah Kalimantan Timur tempat IKN berada pemindahan ibu kota juga penting untuk keberlangsungan ,presiden terpilih pak prabowo kembali menegaskan sikap dan komitmennya dalam mendukung amp melanjutkan pemindahan ibu kota ke ibu kota nusantara ikn bukan hanya untuk pengembangan wilayah kalimantan timur tempat ikn berada pemindahan ibu kota juga penting untuk keberlangsungan ,"['presiden', 'terpilih', 'pak', 'prabowo', 'kembali', 'menegaskan', 'sikap', 'dan', 'komitmennya', 'dalam', 'mendukung', 'amp', 'melanjutkan', 'pemindahan', 'ibu', 'kota', 'ke', 'ibu', 'kota', 'nusantara', 'ikn', 'bukan', 'hanya', 'untuk', 'pengembangan', 'wilayah', 'kalimantan', 'timur', 'tempat', 'ikn', 'berada', 'pemindahan', 'ibu', 'kota', 'juga', 'penting', 'untuk', 'keberlangsungan']","['presiden', 'terpilih', 'prabowo', 'sikap', 'komitmennya', 'mendukung', 'amp', 'melanjutkan', 'pemindahan', 'kota', 'kota', 'nusantara', 'ikn', 'pengembangan', 'wilayah', 'kalimantan', 'timur', 'ikn', 'pemindahan', 'kota', 'keberlangsungan']",presiden terpilih prabowo sikap komitmennya mendukung amp melanjutkan pemindahan kota kota nusantara ikn pengembangan wilayah kalimantan timur ikn pemindahan kota keberlangsungan,
Pesan menyentuh dari Presiden Terpilih Prabowo Subianto untuk kamu yang tidak kemarin tidak memilih beliau. @prabowo #prabowo #gibran #prabowogibran #aljazeera #menyentuh #mengandungbawang #menepatijanji #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo https://t.co/VexNLjSuE5,Pesan menyentuh dari Presiden Terpilih Prabowo Subianto untuk kamu yang tidak kemarin tidak memilih beliau prabowo prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo ,pesan menyentuh dari presiden terpilih prabowo subianto untuk kamu yang tidak kemarin tidak memilih beliau prabowo prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo ,"['pesan', 'menyentuh', 'dari', 'presiden', 'terpilih', 'prabowo', 'subianto', 'untuk', 'kamu', 'yang', 'tidak', 'kemarin', 'tidak', 'memilih', 'beliau', 'prabowo', 'prabowo', 'gibran', 'prabowogibran', 'aljazeera', 'menyentuh', 'mengandungbawang', 'menepatijanji', 'indonesiamaju', 'bersamaindonesiamaju', 'dekade', 'mendingprabowo']","['pesan', 'menyentuh', 'presiden', 'terpilih', 'prabowo', 'subianto', 'kemarin', 'memilih', 'beliau', 'prabowo', 'prabowo', 'gibran', 'prabowogibran', 'aljazeera', 'menyentuh', 'mengandungbawang', 'menepatijanji', 'indonesiamaju', 'bersamaindonesiamaju', 'dekade', 'mendingprabowo']",pesan menyentuh presiden terpilih prabowo subianto kemarin memilih beliau prabowo prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo,Positive
Presiden terpilih Prabowo Subianto menyatakan ingin segera menuntaskan masalah kemiskinan dan kelaparan di Indonesia di periode kepemimpinannya. #PrayForSumbar Im Sol 6 Miliar Hadiah Gratis giselle Salma #prabowo #PrabowoSubianto #Gibran #presiden2024 #viral #indonesia https://t.co/eQmieJvRmP,Presiden terpilih Prabowo Subianto menyatakan ingin segera menuntaskan masalah kemiskinan dan kelaparan di Indonesia di periode kepemimpinannya PrayForSumbar Im Sol  Miliar Hadiah Gratis giselle Salma prabowo PrabowoSubianto Gibran presiden viral indonesia ,presiden terpilih prabowo subianto menyatakan ingin segera menuntaskan masalah kemiskinan dan kelaparan di indonesia di periode kepemimpinannya prayforsumbar im sol  miliar hadiah gratis giselle salma prabowo prabowosubianto gibran presiden viral indonesia ,"['presiden', 'terpilih', 'prabowo', 'subianto', 'menyatakan', 'ingin', 'segera', 'menuntaskan', 'masalah', 'kemiskinan', 'dan', 'kelaparan', 'di', 'indonesia', 'di', 'periode', 'kepemimpinannya', 'prayforsumbar', 'im', 'sol', 'miliar', 'hadiah', 'gratis', 'giselle', 'salma', 'prabowo', 'prabowosubianto', 'gibran', 'presiden', 'viral', 'indonesia']","['presiden', 'terpilih', 'prabowo', 'subianto', 'menuntaskan', 'kemiskinan', 'kelaparan', 'indonesia', 'periode', 'kepemimpinannya', 'prayforsumbar', 'im', 'sol', 'miliar', 'hadiah', 'gratis', 'giselle', 'salma', 'prabowo', 'prabowosubianto', 'gibran', 'presiden', 'viral', 'indonesia']",presiden terpilih prabowo subianto menuntaskan kemiskinan kelaparan indonesia periode kepemimpinannya prayforsumbar im sol miliar hadiah gratis giselle salma prabowo prabowosubianto gibran presiden viral indonesia,Positive
Situasi politik tampaknya bakal berubah di tahun ini. Pemicunya adalah Prabowo Subianto - Gibran Rakabuming Raka yang terpilih sebagai presiden dan wakil presiden periode 2024-2029. Baca selengkapnya di https://t.co/44GixUO9m6 #KabarBanyuwangi #Banyuwangi https://t.co/P24PF8Sejt,Situasi politik tampaknya bakal berubah di tahun ini Pemicunya adalah Prabowo Subianto  Gibran Rakabuming Raka yang terpilih sebagai presiden dan wakil presiden periode  Baca selengkapnya di  KabarBanyuwangi Banyuwangi ,situasi politik tampaknya bakal berubah di tahun ini pemicunya adalah prabowo subianto  gibran rakabuming raka yang terpilih sebagai presiden dan wakil presiden periode  baca selengkapnya di  kabarbanyuwangi banyuwangi ,"['situasi', 'politik', 'tampaknya', 'bakal', 'berubah', 'di', 'tahun', 'ini', 'pemicunya', 'adalah', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'raka', 'yang', 'terpilih', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'periode', 'baca', 'selengkapnya', 'di', 'kabarbanyuwangi', 'banyuwangi']","['situasi', 'politik', 'berubah', 'pemicunya', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'raka', 'terpilih', 'presiden', 'wakil', 'presiden', 'periode', 'baca', 'selengkapnya', 'kabarbanyuwangi', 'banyuwangi']",situasi politik berubah pemicunya prabowo subianto gibran rakabuming raka terpilih presiden wakil presiden periode baca selengkapnya kabarbanyuwangi banyuwangi,Positive
Semua elemen masyarakat dukung Hasil Pemilu 2024 Prabowo-Gibran Presiden dan Wakil Presiden terpilih #pemilupenuhdamai #PemiluIndonesia https://t.co/D2kOSI0MQk,Semua elemen masyarakat dukung Hasil Pemilu  PrabowoGibran Presiden dan Wakil Presiden terpilih pemilupenuhdamai PemiluIndonesia ,semua elemen masyarakat dukung hasil pemilu  prabowogibran presiden dan wakil presiden terpilih pemilupenuhdamai pemiluindonesia ,"['semua', 'elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']","['elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']",elemen masyarakat dukung hasil pemilu prabowogibran presiden wakil presiden terpilih pemilupenuhdamai pemiluindonesia,Positive
Semua elemen masyarakat dukung Hasil Pemilu 2024 Prabowo-Gibran Presiden dan Wakil Presiden terpilih #pemilupenuhdamai #PemiluIndonesia https://t.co/bQyaTwVqs2,Semua elemen masyarakat dukung Hasil Pemilu  PrabowoGibran Presiden dan Wakil Presiden terpilih pemilupenuhdamai PemiluIndonesia ,semua elemen masyarakat dukung hasil pemilu  prabowogibran presiden dan wakil presiden terpilih pemilupenuhdamai pemiluindonesia ,"['semua', 'elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']","['elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']",elemen masyarakat dukung hasil pemilu prabowogibran presiden wakil presiden terpilih pemilupenuhdamai pemiluindonesia,Positive
Presiden Terpilih Prabowo Subianto menghadiri Hari Ulang Tahun Pernikahan Agum Gumelar dan Linda Gumelar. In ucapan selamat dari Pak Prabowo untuk hari bahagia ini. #prabowo #gibran #prabowogibran #agumgumelr #lindagumelar #ulangtahunpernikahan #indonesiamaju https://t.co/tDTBRQL4qh,Presiden Terpilih Prabowo Subianto menghadiri Hari Ulang Tahun Pernikahan Agum Gumelar dan Linda Gumelar In ucapan selamat dari Pak Prabowo untuk hari bahagia ini prabowo gibran prabowogibran agumgumelr lindagumelar ulangtahunpernikahan indonesiamaju ,presiden terpilih prabowo subianto menghadiri hari ulang tahun pernikahan agum gumelar dan linda gumelar in ucapan selamat dari pak prabowo untuk hari bahagia ini prabowo gibran prabowogibran agumgumelr lindagumelar ulangtahunpernikahan indonesiamaju ,"['presiden', 'terpilih', 'prabowo', 'subianto', 'menghadiri', 'hari', 'ulang', 'tahun', 'pernikahan', 'agum', 'gumelar', 'dan', 'linda', 'gumelar', 'in', 'ucapan', 'selamat', 'dari', 'pak', 'prabowo', 'untuk', 'hari', 'bahagia', 'ini', 'prabowo', 'gibran', 'prabowogibran', 'agumgumelr', 'lindagumelar', 'ulangtahunpernikahan', 'indonesiamaju']","['presiden', 'terpilih', 'prabowo', 'subianto', 'menghadiri', 'ulang', 'pernikahan', 'agum', 'gumelar', 'linda', 'gumelar', 'in', 'ucapan', 'selamat', 'prabowo', 'bahagia', 'prabowo', 'gibran', 'prabowogibran', 'agumgumelr', 'lindagumelar', 'ulangtahunpernikahan', 'indonesiamaju']",presiden terpilih prabowo subianto menghadiri ulang pernikahan agum gumelar linda gumelar in ucapan selamat prabowo bahagia prabowo gibran prabowogibran agumgumelr lindagumelar ulangtahunpernikahan indonesiamaju,Positive
Jakarta (ANTARA) - Sekretaris Jenderal Partai Gerindra Ahmad Muzani mengatakan pemerintahan presiden dan wakil presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka perlu mendapatkan dukungan masyarakat dan politik.,Jakarta ANTARA  Sekretaris Jenderal Partai Gerindra Ahmad Muzani mengatakan pemerintahan presiden dan wakil presiden terpilih Prabowo SubiantoGibran Rakabuming Raka perlu mendapatkan dukungan masyarakat dan politik,jakarta antara  sekretaris jenderal partai gerindra ahmad muzani mengatakan pemerintahan presiden dan wakil presiden terpilih prabowo subiantogibran rakabuming raka perlu mendapatkan dukungan masyarakat dan politik,"['jakarta', 'antara', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'mengatakan', 'pemerintahan', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', 'perlu', 'mendapatkan', 'dukungan', 'masyarakat', 'dan', 'politik']","['jakarta', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'pemerintahan', 'presiden', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', 'dukungan', 'masyarakat', 'politik']",jakarta sekretaris jenderal partai gerindra ahmad muzani pemerintahan presiden wakil presiden terpilih prabowo subiantogibran rakabuming raka dukungan masyarakat politik,Positive
Media asing itu menyoroti besarnya perolehan suara Prabowo dan Wakil Presiden terpilih Gibran Rakabumign Raka putra sulung Jokowi yang mencapai hampir 60 persen di 32 provinsi.,Media asing itu menyoroti besarnya perolehan suara Prabowo dan Wakil Presiden terpilih Gibran Rakabumign Raka putra sulung Jokowi yang mencapai hampir  persen di  provinsi,media asing itu menyoroti besarnya perolehan suara prabowo dan wakil presiden terpilih gibran rakabumign raka putra sulung jokowi yang mencapai hampir  persen di  provinsi,"['media', 'asing', 'itu', 'menyoroti', 'besarnya', 'perolehan', 'suara', 'prabowo', 'dan', 'wakil', 'presiden', 'terpilih', 'gibran', 'rakabumign', 'raka', 'putra', 'sulung', 'jokowi', 'yang', 'mencapai', 'hampir', 'persen', 'di', 'provinsi']","['media', 'asing', 'menyoroti', 'besarnya', 'perolehan', 'suara', 'prabowo', 'wakil', 'presiden', 'terpilih', 'gibran', 'rakabumign', 'raka', 'putra', 'sulung', 'jokowi', 'mencapai', 'persen', 'provinsi']",media asing menyoroti besarnya perolehan suara prabowo wakil presiden terpilih gibran rakabumign raka putra sulung jokowi mencapai persen provinsi,Positive
Presiden terpilih periode 2024-2029 Prabowo Subianto mengatakan ada berbagai faktor yang membuat dirinya dan Gibran Rakabuming Raka sukses memenangkan Pilpres 2024.,Presiden terpilih periode  Prabowo Subianto mengatakan ada berbagai faktor yang membuat dirinya dan Gibran Rakabuming Raka sukses memenangkan Pilpres ,presiden terpilih periode  prabowo subianto mengatakan ada berbagai faktor yang membuat dirinya dan gibran rakabuming raka sukses memenangkan pilpres ,"['presiden', 'terpilih', 'periode', 'prabowo', 'subianto', 'mengatakan', 'ada', 'berbagai', 'faktor', 'yang', 'membuat', 'dirinya', 'dan', 'gibran', 'rakabuming', 'raka', 'sukses', 'memenangkan', 'pilpres']","['presiden', 'terpilih', 'periode', 'prabowo', 'subianto', 'faktor', 'gibran', 'rakabuming', 'raka', 'sukses', 'memenangkan', 'pilpres']",presiden terpilih periode prabowo subianto faktor gibran rakabuming raka sukses memenangkan pilpres,Positive
